시도,시도번호,선거구명,선거구번호,선거인 수
서울,1,종로구,1,135727
서울,1,중구,2,106880
서울,1,용산구,3,192033
서울,1,성동구갑,4,143798
서울,1,성동구을,5,121869
서울,1,광진구갑,6,145896
서울,1,광진구을,7,152770
서울,1,동대문구갑,8,159626
서울,1,동대문구을,9,144162
서울,1,중랑구갑,10,161923
서울,1,중랑구을,11,176885
서울,1,성북구갑,12,190021
서울,1,성북구을,13,185356
서울,1,강북구갑,14,136760
서울,1,강북구을,15,139997
서울,1,도봉구갑,16,141137
서울,1,도봉구을,17,152530
서울,1,노원구갑,18,143108
서울,1,노원구을,19,165955
서울,1,노원구병,20,158354
서울,1,은평구갑,21,173326
서울,1,은평구을,22,186121
서울,1,서대문구갑,23,135281
서울,1,서대문구을,24,142651
서울,1,마포구갑,25,138661
서울,1,마포구을,26,178857
서울,1,양천구갑,27,199561
서울,1,양천구을,28,179354
서울,1,강서구갑,29,232420
서울,1,강서구을,30,211554
서울,1,구로구갑,31,177506
서울,1,구로구을,32,156396
서울,1,금천구,33,196593
서울,1,영등포구갑,34,168087
서울,1,영등포구을,35,158263
서울,1,동작구갑,36,173247
서울,1,동작구을,37,154470
서울,1,관악구갑,38,229748
서울,1,관악구을,39,211333
서울,1,서초구갑,40,148485
서울,1,서초구을,41,172290
서울,1,강남구갑,42,243349
서울,1,강남구을,43,201145
서울,1,송파구갑,44,151571
서울,1,송파구을,45,150740
서울,1,송파구병,46,188816
서울,1,강동구갑,47,184202
서울,1,강동구을,48,179541
부산,2,중구동구,1,128965
부산,2,서구,2,108524
부산,2,영도구,3,126970
부산,2,부산진구갑,4,166652
부산,2,부산진구을,5,158391
부산,2,동래구,6,224455
부산,2,남구갑,7,123682
부산,2,남구을,8,113781
부산,2,북구강서구갑,9,135186
부산,2,해운대구기장군갑,10,232983
부산,2,해운대구기장군을,11,152569
부산,2,사하구갑,12,125499
부산,2,사하구을,13,159867
부산,2,금정구,14,206393
부산,2,북구강서구을,15,155247
부산,2,연제구,16,169695
부산,2,수영구,17,145007
부산,2,사상구,18,207579
대구,3,중구남구,1,211644
대구,3,동구갑,2,114760
대구,3,동구을,3,149326
대구,3,서구,4,188724
대구,3,북구갑,5,126547
대구,3,북구을,6,215689
대구,3,수성구갑,7,184739
대구,3,수성구을,8,147919
대구,3,달서구갑,9,148375
대구,3,달서구을,10,161343
대구,3,달서구병,11,129216
대구,3,달성군,12,121397
인천,4,중구동구옹진군,1,143649
인천,4,남구갑,2,158356
인천,4,남구을,3,169434
인천,4,연수구,4,195237
인천,4,남동구갑,5,185262
인천,4,남동구을,6,139487
인천,4,부평구갑,7,219533
인천,4,부평구을,8,211636
인천,4,계양구갑,9,127026
인천,4,계양구을,10,122224
인천,4,서구강화군갑,11,212272
인천,4,서구강화군을,12,134583
광주,5,동구,1,89403
광주,5,서구갑,2,105322
광주,5,서구을,3,116325
광주,5,남구,4,161077
광주,5,북구갑,5,140997
광주,5,북구을,6,205050
광주,5,광산구갑,7,127220
광주,5,광산구을,8,88999
대전,6,동구,1,191688
대전,6,중구,2,204253
대전,6,서구갑,3,176022
대전,6,서구을,4,191756
대전,6,유성구,5,180520
대전,6,대덕구,6,157060
울산,7,중구,1,177629
울산,7,남구갑,2,134533
울산,7,남구을,3,116449
울산,7,동구,4,135389
울산,7,북구,5,110077
울산,7,울주군,6,138616
경기,8,수원시장안구,1,210021
경기,8,수원시권선구,2,228869
경기,8,수원시팔달구,3,169205
경기,8,수원시영통구,4,176153
경기,8,성남시수정구,5,201315
경기,8,성남시중원구,6,206957
경기,8,성남시분당구갑,7,155105
경기,8,성남시분당구을,8,166389
경기,8,의정부시갑,9,157906
경기,8,의정부시을,10,160770
경기,8,안양시만안구,11,205122
경기,8,안양시동안구갑,12,131982
경기,8,안양시동안구을,13,131380
경기,8,부천시원미구갑,14,138345
경기,8,부천시원미구을,15,195415
경기,8,부천시소사구,16,175130
경기,8,부천시오정구,17,145857
경기,8,광명시갑,18,132590
경기,8,광명시을,19,104082
경기,8,평택시갑,20,134202
경기,8,평택시을,21,164456
경기,8,양주시동두천시,22,202774
경기,8,안산시상록구갑,23,152564
경기,8,안산시상록구을,24,115322
경기,8,안산시단원구갑,25,132229
경기,8,안산시단원구을,26,107943
경기,8,고양시덕양구갑,27,146555
경기,8,고양시덕양구을,28,137057
경기,8,고양시일산동구,29,190339
경기,8,고양시일산서구,30,205367
경기,8,의왕시과천시,31,147962
경기,8,구리시,32,145964
경기,8,남양주시갑,33,192952
경기,8,남양주시을,34,171320
경기,8,오산시,35,105500
경기,8,화성시갑,36,142385
경기,8,화성시을,37,142298
경기,8,시흥시갑,38,142330
경기,8,시흥시을,39,135239
경기,8,군포시,40,204940
경기,8,하남시,41,107321
경기,8,파주시,42,229631
경기,8,이천시여주군,43,227529
경기,8,용인시처인구,44,152093
경기,8,용인시수지구,45,214394
경기,8,용인시기흥구,46,219937
경기,8,안성시,47,126303
경기,8,김포시,48,153364
경기,8,광주시,49,173590
경기,8,포천시연천군,50,158217
경기,8,양평군가평군,51,116185
강원,9,춘천시,1,197867
강원,9,원주시,2,223872
강원,9,강릉시,3,170344
강원,9,동해시삼척시,4,130815
강원,9,속초시고성군양양군,5,112343
강원,9,홍천군횡성군,6,90862
강원,9,태백시영월군평창군정선군,7,144123
강원,9,철원군화천군양구군인제군,8,96540
충북,10,청주시상당구,1,183981
충북,10,청주시흥덕구갑,2,141116
충북,10,청주시흥덕구을,3,139869
충북,10,충주시,4,157660
충북,10,제천시단양군,5,132059
충북,10,청원군,6,111765
충북,10,보은군옥천군영동군,7,114780
충북,10,증평군진천군괴산군음성군,8,170301
충남,11,천안시갑,1,174769
충남,11,천안시을,2,211251
충남,11,공주시연기군,3,162699
충남,11,보령시서천군,4,135342
충남,11,아산시,5,173908
충남,11,서산시태안군,6,168285
충남,11,논산시계룡시금산군,7,176075
충남,11,부여군청양군,8,91152
충남,11,홍성군예산군,9,142250
충남,11,당진군,10,106887
전북,12,전주시완산구갑,1,122935
전북,12,전주시완산구을,2,133780
전북,12,전주시덕진구,3,204170
전북,12,군산시,4,200010
전북,12,익산시갑,5,109569
전북,12,익산시을,6,124986
전북,12,정읍시,7,97189
전북,12,남원시순창군,8,94868
전북,12,김제시완주군,9,145495
전북,12,진안군무주군장수군임실군,10,91154
전북,12,고창군부안군,11,100245
전남,13,목포시,1,179322
전남,13,여수시갑,2,109458
전남,13,여수시을,3,113719
전남,13,순천시,4,196170
전남,13,나주시화순군,5,132756
전남,13,광양시,6,98762
전남,13,담양군곡성군구례군,7,91606
전남,13,고흥군보성군,8,108212
전남,13,장흥군강진군영암군,9,115841
전남,13,해남군완도군진도군,10,141810
전남,13,무안군신안군,11,91992
전남,13,함평군영광군장성군,12,117240
경북,14,포항시북구,1,191854
경북,14,포항시남구울릉군,2,203214
경북,14,경주시,3,211232
경북,14,김천시,4,109981
경북,14,안동시,5,133439
경북,14,구미시갑,6,155964
경북,14,구미시을,7,126250
경북,14,영주시,8,91222
경북,14,영천시,9,85779
경북,14,상주시,10,87108
경북,14,문경시예천군,11,102786
경북,14,경산시청도군,12,220690
경북,14,고령군성주군칠곡군,13,153500
경북,14,군위군의성군청송군,14,99099
경북,14,영양군영덕군봉화군울진군,15,125789
경남,15,창원시갑,1,187076
경남,15,창원시을,2,177562
경남,15,마산시갑,3,148612
경남,15,마산시을,4,174106
경남,15,진주시갑,5,126291
경남,15,진주시을,6,124834
경남,15,진해시,7,122687
경남,15,통영시고성군,8,150961
경남,15,사천시,9,87843
경남,15,김해시갑,10,149685
경남,15,김해시을,11,183038
경남,15,밀양시창녕군,12,141313
경남,15,거제시,13,153055
경남,15,의령군함안군합천군,14,122982
경남,15,양산시,15,171714
경남,15,남해군하동군,16,88545
경남,15,산청군함양군거창군,17,114298
제주,16,제주시갑,1,160569
제주,16,제주시을,2,136099
제주,16,서귀포시,3,117236
