item sector principal yield
1      North       108     0
2      Asia     34385   410
3      Africa     19082  3960
4      Europe      3205  3960
5      Asia      7512     0
6      South     40412  8620
7      Asia      3092  3200
8      Oceania        68     0
9      North        88 13280
10     Oceania     22299 46200
11     Europe      8390 47030
12     Asia      9054  5330
13     Africa      8382   170
14     Europe     10896 45840
15     Africa      8850   780
16     Africa     16468   550
17     Asia    148692   700
18     Europe      7534  6280
19     Asia      1262     0
20     North       343 22240
21     Europe      3760  4770
22     Europe      9490  5950
23     North       345  3810
24     North        65     0
25     South      9929  1810
26     South    194946  9390
27     North       274     0
28     Asia       399     0
29     Asia       726  1870
30     Africa      2007  6740
31     Africa      4401   470
32     North     34126 43250
33     Europe      7826 71520
34     South     17114 10120
35     Asia   1338300  4270
36     Africa     19738  1160
37     Africa     19599  1200
38     Africa      4043  2240
39     South     46295  5510
40     Africa       735   750
41     Africa       496  3270
42     North      4659  6810
43     North     11258     0
44     North       143     0
45     North        56     0
46     Asia      1103 29430
47     Europe     10520 17890
48     Europe     81777 43070
49     Africa       889     0
50     North        68  6740
51     Europe      5547 59400
52     North      9927  5030
53     Africa     35468  4390
54     South     14465  3850
55     Africa     81121  2420
56     Africa      5254   340
57     Europe     46071 31750
58     Europe      1340 14460
59     Africa     82950   390
60     Europe      5364 47570
61     Oceania       860  3630
62     Europe     64895 42370
63     Europe        49     0
64     Oceania       111  2740
65     Africa      1505  7650
66     Europe     62232 38200
67     Asia      4452  2690
68     Africa     24392  1250
69     Europe        29     0
70     Africa      9982   400
71     Africa      1729   450
72     Africa      1515   590
73     Africa       700 14550
74     Europe     11316 26950
75     North       104  6960
76     North        57     0
77     North     14389  2740
78     Oceania       179     0
79     South       755  2870
80     Asia      7068 32780
81     North      7600  1870
82     Europe      4418 13890
83     North      9993     0
84     Europe     10000 12860
85     Asia    239870  2500
86     Asia   1224615  1270
87     Europe      4475 41820
88     Asia     73973     0
89     Asia     32031  2340
90     Europe       318 32640
91     Asia      7624 27180
92     Europe     60483 35700
93     North      2702  4800
94     Asia      6047  4340
95     Asia    127451 41850
96     Asia     16323  7580
97     Africa     40513   810
98     Asia      5448   830
99     Asia     14139   750
100    Oceania       100  2000
101    North        52 11830
102    Asia     48875 19890
103    Asia      2736     0
104    Asia      6201  1040
105    Asia      4227  8880
106    Africa      3994   200
107    Africa      6355     0
108    North       174  6560
109    Europe        36     0
110    Asia     20860  2240
111    Africa      2171  1090
112    Europe      3287 11510
113    Europe       507 76980
114    Europe      2239 11640
115    Asia       544     0
116    North        30     0
117    Africa     31951  2850
118    Europe        35     0
119    Europe      3562  1810
120    Africa     20714   430
121    Asia       316  5750
122    North    113423  8930
123    Oceania        54  3640
124    Europe      2060  4570
125    Africa     15370   600
126    Europe       416 19130
127    Asia     47963     0
128    Europe       632  6740
129    Asia      2756  1870
130    Oceania        61     0
131    Africa     23390   440
132    Africa      3460  1000
133    Africa      1281  7850
134    Africa     14901   330
135    Asia     28401  7760
136    Africa       204     0
137    Africa      2283  4510
138    Oceania       247     0
139    Africa     15512   370
140    Africa    158423  1230
141    North      5789  1110
142    Europe     16616 49030
143    Europe      4889 87350
144    Asia     29959   490
145    Oceania      4368     0
146    Asia      2783     0
147    Asia    173593  1050
148    North      3517  6970
149    South     29076  4700
150    Asia     93261  2060
151    Oceania        20  6560
152    Oceania      6858  1300
153    Europe     38184 12440
154    North      3978 15500
155    Asia     24346     0
156    Europe     10638 21870
157    South      6454  2720
158    Oceania       271     0
159    Asia      1759     0
160    Europe    141750  9900
161    Africa     10624   520
162    Asia     27448     0
163    Africa     43552  1270
164    Africa     12434  1080
165    Asia      5077 40070
166    Oceania       538  1030
167    Africa      5867   340
168    North      6193  3380
169    Europe        32     0
170    Africa      9331     0
171    Europe      7291  5630
172    Africa         0     0
173    Africa       165  1200
174    South       525     0
175    Europe      5430 16840
176    Europe      2049 23900
177    Europe      9378 50100
178    Africa      1056  2930
179    North        38     0
180    Africa        87  9710
181    Asia     20447  2750
182    North        38     0
183    Africa     11227   620
184    Africa      6028   490
185    Asia     69122  4150
186    Asia      6879   800
187    Asia      5042  3790
188    Oceania       104  3290
189    North      1341 15380
190    Africa     10549  4160
191    Asia     72752  9890
192    Oceania        10  4760
193    Africa     44841   540
194    Africa     33424   500
195    Europe     45871  3000
196    South      3357 10230
197    North    309349 47340
198    Asia     28228  1280
199    North       109  6320
200    South     28834 11590
201    North       110     0
202    Asia     86928  1160
203    Oceania       240  2640
204    Oceania       184  2980
205    Asia     24053  1170
206    Africa     49991  6090
207    Africa     12927  1070
208    Africa     12571   460
