연월,동행지수,선행지수
Jan.70,100.6,101
Feb.70,101.5,100.9
Mar.70,101.9,100.8
Apr.70,103.2,100.6
May.70,103.2,100.5
Jun.70,103.1,100.3
Jul.70,103,100.2
Aug.70,102.6,100
Sep.70,102.6,99.9
Oct.70,102.1,99.7
Nov.70,101.8,99.5
Dec.70,101.4,99.4
Jan.71,101.1,99.2
Feb.71,101.2,99.4
Mar.71,101.5,99.3
Apr.71,101.7,99.6
May.71,101.9,99
Jun.71,102.2,99.3
Jul.71,102,98.9
Aug.71,101.1,98.7
Sep.71,99.8,97.7
Oct.71,98.6,97.5
Nov.71,98.4,97
Dec.71,97.8,96.5
Jan.72,96.2,95.9
Feb.72,95.4,95.5
Mar.72,94.6,95.6
Apr.72,95.5,95.7
May.72,95.4,96.3
Jun.72,95.9,96.6
Jul.72,95.8,97.3
Aug.72,96,98.1
Sep.72,96.9,99.7
Oct.72,97.4,101.2
Nov.72,98.2,102.7
Dec.72,99.3,103.6
Jan.73,100.4,105.5
Feb.73,100.5,107
Mar.73,100.3,109.1
Apr.73,101.1,109.2
May.73,102.1,109.4
Jun.73,102.3,108.8
Jul.73,102.5,109.4
Aug.73,103.5,109.9
Sep.73,104.7,109.3
Oct.73,105.6,108.4
Nov.73,105.6,107.1
Dec.73,105.2,106.2
Jan.74,105.2,105.7
Feb.74,106.1,104.5
Mar.74,105.3,103
Apr.74,103.9,101.1
May.74,104,99.7
Jun.74,103.9,98.8
Jul.74,104.4,98.2
Aug.74,103.2,97.1
Sep.74,101.9,96.7
Oct.74,100.1,96.1
Nov.74,99.5,96.4
Dec.74,99.4,97.5
Jan.75,99.5,96.5
Feb.75,100.1,96.6
Mar.75,99.8,96.4
Apr.75,99.3,97.3
May.75,98.6,98.6
Jun.75,98.2,99.3
Jul.75,97.4,99.8
Aug.75,98.4,99.6
Sep.75,98.1,99.3
Oct.75,98.5,99.9
Nov.75,98.8,99.9
Dec.75,99.1,100
Jan.76,99.7,100.3
Feb.76,99.5,100.8
Mar.76,99.4,101.5
Apr.76,99,102.1
May.76,99.2,101.9
Jun.76,99.6,101.3
Jul.76,101,101
Aug.76,101.5,100.9
Sep.76,101.3,100.4
Oct.76,99.8,100
Nov.76,99.3,99.7
Dec.76,98.5,99.8
Jan.77,98,99.6
Feb.77,97.9,99.2
Mar.77,97.6,98.6
Apr.77,97.9,98.5
May.77,97.3,98.6
Jun.77,98.1,99.8
Jul.77,97.3,100.3
Aug.77,97.8,100.7
Sep.77,97.3,100.4
Oct.77,98,100.4
Nov.77,98.1,100.9
Dec.77,99.2,101.2
Jan.78,100.6,101.8
Feb.78,101.3,102.6
Mar.78,101.4,103.2
Apr.78,101.4,103.7
May.78,101.6,103.8
Jun.78,101.7,103.2
Jul.78,101.9,103
Aug.78,102.7,103
Sep.78,103.4,103.3
Oct.78,103.7,103.1
Nov.78,104,103.2
Dec.78,104.4,103
Jan.79,105.1,103.8
Feb.79,105,103.2
Mar.79,104.8,102.5
Apr.79,103.9,101.1
May.79,104,99.5
Jun.79,103.4,99.1
Jul.79,103.3,98.8
Aug.79,102.5,98.6
Sep.79,102.2,98.8
Oct.79,102.4,98.6
Nov.79,102.4,97.9
Dec.79,102.5,97.6
Jan.80,102.4,97.6
Feb.80,101.8,98.1
Mar.80,101.2,98.4
Apr.80,100.3,98.9
May.80,99.6,98.9
Jun.80,98.7,99.4
Jul.80,98.4,99.2
Aug.80,98.4,99.2
Sep.80,97.9,99
Oct.80,98.1,99
Nov.80,97.9,99.1
Dec.80,98.5,99.4
Jan.81,99.1,99.9
Feb.81,99.7,100.3
Mar.81,100.6,100.6
Apr.81,101,100.8
May.81,101.4,101.2
Jun.81,101.4,101.6
Jul.81,101.4,101.5
Aug.81,101.5,101.5
Sep.81,101.3,101.4
Oct.81,101.4,101.3
Nov.81,101,100.9
Dec.81,100.8,100.4
Jan.82,100.4,100.1
Feb.82,99.8,99.8
Mar.82,99.5,99.9
Apr.82,99.2,99.7
May.82,99,99.5
Jun.82,99.1,99.2
Jul.82,99.2,99.4
Aug.82,98.9,99.6
Sep.82,99.5,99.9
Oct.82,99.3,100
Nov.82,99.7,100.2
Dec.82,99.7,100.3
Jan.83,99.9,100.9
Feb.83,100,101
Mar.83,100,101.1
Apr.83,99.8,100.7
May.83,100.3,101.4
Jun.83,100.7,101.6
Jul.83,100.8,101.7
Aug.83,100.9,101.3
Sep.83,100.9,101.3
Oct.83,101.1,101.2
Nov.83,101.3,101.1
Dec.83,101.3,100.9
Jan.84,101.7,100.9
Feb.84,101.5,100.6
Mar.84,101.7,100.6
Apr.84,101.4,100.5
May.84,101.4,100.6
Jun.84,101.6,100.4
Jul.84,101.5,100.3
Aug.84,101.3,100.1
Sep.84,100.7,99.6
Oct.84,100,99.7
Nov.84,99.4,100.2
Dec.84,99.2,100.3
Jan.85,98.5,100.2
Feb.85,98.4,100
Mar.85,98.2,100
Apr.85,98.5,100.1
May.85,98.7,99.7
Jun.85,98.7,99.6
Jul.85,98.5,99.5
Aug.85,98.1,99.7
Sep.85,97.7,99.8
Oct.85,97.7,99.7
Nov.85,98.1,99.8
Dec.85,98.7,99.9
Jan.86,98.8,99.9
Feb.86,98.9,99.9
Mar.86,98.8,100.1
Apr.86,99.1,100.4
May.86,99.9,100.6
Jun.86,100.3,100.7
Jul.86,100.4,100.6
Aug.86,100.5,100.7
Sep.86,100.4,100.7
Oct.86,100.2,100.8
Nov.86,100,100.6
Dec.86,99.9,100.5
Jan.87,99.7,100.3
Feb.87,99.8,100.4
Mar.87,100.3,100.5
Apr.87,100.6,100.4
May.87,101.2,100.3
Jun.87,101.7,100.1
Jul.87,101.9,100.2
Aug.87,100.9,100
Sep.87,100.2,100.1
Oct.87,100.4,100.2
Nov.87,101.5,100.3
Dec.87,102.1,100.5
Jan.88,102,100.3
Feb.88,102.1,100.3
Mar.88,101.6,100.1
Apr.88,100.9,100
May.88,100.2,99.8
Jun.88,99.9,99.6
Jul.88,99.6,99.6
Aug.88,99.9,99.8
Sep.88,99.9,99.7
Oct.88,100.2,99.3
Nov.88,100,98.8
Dec.88,99.5,98.6
Jan.89,99.4,98.8
Feb.89,99.2,99
Mar.89,99.2,99.2
Apr.89,98.8,99.5
May.89,98.6,99.8
Jun.89,98.6,100.1
Jul.89,99,100.1
Aug.89,99.6,100
Sep.89,100.1,100.1
Oct.89,100,100.2
Nov.89,99.9,100.3
Dec.89,99.7,100.2
Jan.90,99.6,100.4
Feb.90,99.8,100.3
Mar.90,99.9,100.3
