¿¬µµ,a_15,a15_24,a25_34,a35_44,a45_54,a55_64,a65_74,a_75
1960,10587583,4741149,3489408,2495159,1825186,1147439,556069,170381
1961,11065019,4750164,3638222,2531678,1863263,1166446,569002,181879
1962,11472623,4803558,3785141,2585561,1904722,1178709,587718,194998
1963,11850374,4872444,3936156,2656237,1927450,1202918,609260,206908
1964,12215638,4930487,4058520,2746875,1939819,1247681,626150,218985
1965,12577740,4983871,4176545,2822132,1976105,1287198,649239,231844
1966,12916059,5042592,4313326,2886676,2032004,1318280,686036,240598
1967,13199493,5150344,4432958,2969920,2094918,1355426,691565,236359
1968,13459383,5300639,4507526,3068255,2162172,1407390,696449,236488
1969,13638232,5518950,4557803,3198132,2217509,1465097,707722,240821
1970,13709367,5838400,4573716,3334111,2288704,1505221,740533,250775
1971,13764089,6140891,4566750,3467132,2329990,1559329,788824,265699
1972,13858472,6452935,4615989,3604267,2367191,1561894,773800,270858
1973,13849385,6740493,4674894,3751026,2437219,1572878,793560,283694
1974,13790071,7049068,4735729,3886029,2521852,1589007,822074,298436
1975,13614403,7408683,4780948,4029347,2601346,1628551,873467,343980
1976,13434830,7791533,4825041,4164849,2673688,1696469,902558,359555
1977,13273107,8091334,4926181,4288482,2755971,1767362,935537,373821
1978,13116029,8347792,5083264,4379985,2844723,1840230,974661,382501
1979,13005315,8524044,5308741,4432893,2949166,1909135,1013792,391150
1980,12950775,8613096,5598011,4458135,3081014,1966711,1049952,406081
1981,12925036,8676259,5895747,4495726,3227887,2004414,1082062,416117
1982,12886600,8701471,6181742,4572302,3372566,2052256,1118365,441050
1983,12800968,8698305,6501233,4658282,3519660,2117421,1149432,465102
1984,12591760,8686660,6854609,4739612,3666688,2193012,1179957,493658
1985,12304542,8682114,7187163,4815093,3806100,2268883,1218561,523288
1986,12029833,8727575,7550799,4824123,3938970,2341638,1257111,543625
1987,11746377,8757884,7820954,4929977,4064384,2425686,1310017,566411
1988,11487445,8758918,8103092,5040911,4157893,2521128,1370525,591335
1989,11261131,8758847,8308302,5225143,4214231,2628399,1436693,616292
1990,10973592,8784421,8461451,5520077,4188423,2746235,1499703,695381
1991,10858720,8726062,8523041,5819466,4221651,2880323,1538136,728305
1992,10791426,8643256,8561832,6097434,4291511,3016647,1588345,757511
1993,10734528,8527876,8580374,6388921,4372700,3153236,1655960,781033
1994,10653446,8400813,8590113,6721639,4446840,3286197,1735902,806590
1995,10536828,8288574,8597431,7087442,4509615,3416449,1815007,841645
1996,10403277,8200969,8601993,7421559,4553158,3548843,1888837,906045
1997,10233102,8109332,8636408,7718022,4656982,3670423,1978308,951003
1998,10091517,7998708,8603344,7983386,4787167,3753328,2072539,996514
1999,9972894,7852596,8599978,8185112,4986346,3796175,2179258,1044318
2000,9911229,7696814,8600905,8293517,5287305,3823445,2303425,1091471
2001,9853736,7547155,8540324,8385072,5583838,3868867,2433838,1144532
2002,9747322,7397173,8451898,8451521,5852764,3949426,2565650,1206425
2003,9605790,7253547,8365738,8481610,6144056,4040452,2693565,1274553
2004,9445934,7072696,8262347,8492383,6474983,4125098,2811325,1354649
2005,9241187,6879114,8145069,8481750,6828251,4196064,2928734,1437908
2006,8988826,6733208,8078808,8513940,7185088,4279709,3058593,1533774
2007,8724607,6634329,8001239,8533226,7497002,4379735,3182896,1644618
2008,8488729,6600515,7908254,8569475,7796097,4533473,3285488,1766667
2009,8232065,6629989,7777985,8549711,8003786,4732667,3352362,1903473
2010,7975374,6676706,7658337,8502380,8151926,4993153,3404568,2047922
2011,7770912,6743287,7586462,8451478,8279809,5291502,3468017,2187973
2012,7559063,6768937,7477343,8372350,8346291,5590782,3558295,2331380
2013,7370118,6774853,7365946,8270201,8400921,5899928,3658353,2479349
2014,7198984,6754457,7233830,8167288,8451280,6232557,3755293,2630266
2015,7039594,6701054,7086021,8086437,8481635,6598184,3842265,2781855
2016,6899128,6603697,6950163,8019513,8491400,6974004,3926928,2936572
2017,6840263,6405653,6855040,7939992,8492189,7324678,4028258,3090446
2018,6813961,6167055,6812375,7832348,8493303,7625679,4169864,3226105
2019,6784902,5935188,6813949,7708414,8478140,7857570,4381352,3334191
2020,6788432,5679238,6844598,7583949,8431677,8023505,4653048,3431048
2021,6799216,5428879,6883178,7465495,8368125,8136455,4942640,3542401
2022,6787638,5220019,6908930,7356816,8291802,8208950,5235439,3675920
2023,6747636,5060948,6913536,7246444,8192512,8269965,5538333,3821794
2024,6741003,4885622,6890610,7116264,8092422,8327767,5864084,3969807
2025,6739459,4716825,6833808,6971016,8013938,8366242,6220410,4110665
2026,6695923,4602135,6732621,6837613,7949283,8384627,6585933,4254005
2027,6672702,4541768,6529510,6744099,7872214,8393838,6927252,4412731
2028,6645229,4516111,6284811,6701867,7767507,8402912,7220689,4592248
2029,6612967,4488675,6046550,6702918,7647008,8395517,7449236,4811434
2030,6575330,4494380,5784004,6732417,7526000,8356488,7616439,5075007
2031,6528571,4509360,5527608,6769632,7410933,8299760,7733905,5366390
2032,6471373,4503201,5313970,6794270,7305629,8230038,7814352,5682059
2033,6405647,4467195,5151792,6798185,7198288,8137232,7884651,6016815
2034,6331003,4464283,4974413,6775414,7070807,8044045,7953808,6371361
2035,6247391,4466167,4804525,6719638,6927553,7972425,8005512,6745275
2036,6155157,4430748,4689642,6620230,6795460,7914343,8038197,7127174
2037,6054947,4422429,4628915,6419887,6702918,7843958,8062275,7496189
2038,5947683,4413460,4603103,6178935,6661458,7745505,8084795,7835305
2039,5834661,4404615,4575449,5945073,6663444,7630631,8090185,8147343
2040,5717528,4396276,4580484,5687193,6694148,7514399,8063399,8437925
2041,5602122,4381214,4594631,5435545,6732919,7403537,8017924,8705162
2042,5490290,4358236,4587974,5226343,6759447,7302055,7958607,8952824
2043,5379877,4332914,4551564,5067913,6765571,7198299,7877472,9206014
2044,5272784,4303817,4547985,4893644,6745159,7074078,7796708,9467987
2045,5170885,4269247,4549372,4726551,6691913,6934356,7738921,9728966
2046,5075834,4227548,4513526,4613891,6595065,6806102,7695153,9975336
2047,4988914,4177374,4504729,4554042,6397894,6717440,7638897,10201502
2048,4910991,4117827,4495296,4528633,6160041,6679700,7554108,10394689
2049,4842470,4048657,4485994,4501395,5928715,6685213,7451147,10544833
2050,4783197,3970540,4477188,4506465,5673344,6719489,7344828,10646224
2051,4732539,3888955,4461596,4520579,5423671,6761569,7242038,10710203
2052,4689549,3805753,4437944,4514199,5215722,6791278,7147860,10750731
2053,4653060,3719035,4411794,4478394,5057873,6800359,7051182,10780098
2054,4621725,3631270,4381716,4474980,4884378,6782613,6935331,10828950
2055,4594184,3545027,4346029,4476504,4717879,6731845,6806168,10907135
2056,4569189,3462598,4303080,4441249,4605105,6637100,6689452,10995066
2057,4545560,3385876,4251498,4432661,4545796,6441111,6611624,11060670
2058,4522204,3316292,4190389,4423481,4521074,6204074,6583431,11080906
2059,4498172,3254735,4119528,4414410,4494442,5973290,6596430,11051549
2060,4472656,3201463,4039606,4405828,4500303,5717975,6636429,10985115
