x경도   y위도  시도  이산화황  오존   이산화질소 미세먼지
128.20 37.24   서울   0.008   0.008   0.044      64
129.55 35.41   부산   0.006   0.018   0.024      50
129.35 35.52   대구   0.009   0.012   0.028      56
126.38 37.28   인천   0.009   0.014   0.031      71
128.05 36.09   광주   0.007   0.011   0.033      65
128.35 36.20   대전   0.006   0.009   0.025      54
130.15 35.27   울산   0.006   0.018   0.024      40
125.13 39.41   청주   0.006   0.011   0.027      71
127.43 37.52   천안   0.006   0.011   0.037      65
126.41 35.58   군산   0.007   0.018   0.018      50
127.44 34.40   여수   0.010   0.020   0.016      44
126.22 34.48   목포   0.006   0.021   0.009      53
129.20 36.03   포항   0.009   0.024   0.025      53
128.32 35.11   마산   0.006   0.023   0.027      52 
126.32 33.31   제주   0.006   0.032   0.016      49
